instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity
SC_n500_R1000_s901,GA-FIX-2P+BF1,2,158740.0,2.6995835970010376,19700,True,39,0.0037144000000000014
SC_n500_R1000_s901,GA-FIX-2P+BF1,3,158740.0,2.720025438000448,19700,True,97,0.0027032000000000007
SC_n500_R1000_s901,GA-FIX-2P+BF1,4,158741.0,2.7856304209999507,19700,True,191,0.002077600000000001
SC_n500_R1000_s901,GA-FIX-2P+BF1,5,158841.0,2.004109055000299,19700,True,35,0.0022440000000000008
SC_n500_R1000_s901,GA-FIX-2P+BF3,0,158841.0,3.1273116270022,19700,True,35,0.014295200000000006
SC_n500_R1000_s901,GA-FIX-2P+BF3,1,158841.0,2.9448025040001085,19700,True,50,0.014230400000000006
SC_n500_R1000_s901,GA-FIX-2P+BF3,2,158741.0,3.114744503000111,19700,True,30,0.02467920000000001
SC_n500_R1000_s901,GA-FIX-2P+BF3,3,158841.0,3.1892456670029787,19700,True,37,0.014983200000000006
SC_n500_R1000_s901,GA-FIX-2P+BF3,4,158841.0,3.1921645629990962,19700,True,32,0.011739200000000003
SC_n500_R1000_s901,GA-FIX-2P+BF3,5,158841.0,2.062335525002709,19700,True,40,0.015608000000000006
SC_n500_R1000_s901,GA-FIX-2P+SWAP,0,158839.0,3.089818191001541,19700,True,53,0.0047968
SC_n500_R1000_s901,GA-FIX-2P+SWAP,1,158741.0,3.0162003330005973,19700,True,40,0.006598400000000002
SC_n500_R1000_s901,GA-FIX-2P+SWAP,2,158741.0,2.897712608999427,19700,True,33,0.011787200000000003
SC_n500_R1000_s901,GA-FIX-2P+SWAP,3,158741.0,1.9804171149989998,19700,True,47,0.0066416
SC_n500_R1000_s901,GA-FIX-2P+SWAP,4,158841.0,3.1679221030026383,19700,True,47,0.004663200000000002
SC_n500_R1000_s901,GA-FIX-2P+SWAP,5,158841.0,2.9888589440015494,19700,True,104,0.0030112000000000003
SC_n500_R1000_s901,GA-FIX-UX+BF1,0,158841.0,2.724967801001185,19700,True,23,0.0021096000000000014
SC_n500_R1000_s901,GA-FIX-UX+BF1,1,158841.0,2.8229623359984544,19700,True,51,0.002533600000000001
SC_n500_R1000_s901,GA-FIX-UX+BF1,2,158841.0,2.2240958339971257,19700,True,34,0.0039032000000000003
SC_n500_R1000_s901,GA-FIX-UX+BF1,3,158841.0,2.9339651629998116,19700,True,25,0.0014000000000000006
SC_n500_R1000_s901,GA-FIX-UX+BF1,4,158841.0,2.8349698620004347,19700,True,26,0.002060000000000001
SC_n500_R1000_s901,GA-FIX-UX+BF1,5,158841.0,2.4079880620010954,19700,True,31,0.0015232000000000002
SC_n500_R1000_s901,GA-FIX-UX+BF3,0,158841.0,3.1368284889977076,19700,True,37,0.033652800000000004
SC_n500_R1000_s901,GA-FIX-UX+BF3,1,158841.0,3.3935913400018762,19700,True,34,0.05125680000000001
SC_n500_R1000_s901,GA-FIX-UX+BF3,2,158841.0,2.908474201998615,19700,True,28,0.04950800000000001
SC_n500_R1000_s901,GA-FIX-UX+BF3,3,158841.0,3.3454023849990335,19700,True,31,0.04628240000000001
SC_n500_R1000_s901,GA-FIX-UX+BF3,4,158841.0,3.4096954130000086,19700,True,24,0.03293120000000001
SC_n500_R1000_s901,GA-FIX-UX+BF3,5,158841.0,2.294150814999739,19700,True,33,0.046540800000000014
SC_n500_R1000_s901,GA-FIX-UX+SWAP,0,158841.0,3.1890515769991907,19700,True,29,0.003673600000000001
SC_n500_R1000_s901,GA-FIX-UX+SWAP,1,158841.0,3.0675412000018696,19700,True,31,0.009400000000000004
SC_n500_R1000_s901,GA-FIX-UX+SWAP,2,158841.0,3.2042371749994345,19700,True,31,0.0034224000000000004
SC_n500_R1000_s901,GA-FIX-UX+SWAP,3,158841.0,3.3490150649995485,19700,True,32,0.03909200000000001
SC_n500_R1000_s901,GA-FIX-UX+SWAP,4,158841.0,3.1339352530012548,19700,True,28,0.005879200000000001
