instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
SC_n500_R1000_s900,GA-QL-c,5,157946.0,3.005271271998936,19700,True,125,0.009420000000000003,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-RAND,0,157846.0,2.793569942998147,19700,True,37,0.005795200000000001,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-RAND,1,157946.0,2.9091100449986698,19700,True,29,0.0034312000000000006,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-RAND,2,157946.0,2.6354467650016886,19700,True,50,0.0077144000000000015,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-RAND,3,157846.0,2.4342150340016815,19700,True,34,0.011168800000000005,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-RAND,4,157846.0,2.918635969999741,19700,True,24,0.0075184000000000015,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-RAND,5,157846.0,2.9642228829980013,19700,True,37,0.005457600000000001,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-UCB,0,157846.0,2.4217817219978315,19700,True,21,0.006366400000000001,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-UCB,1,157846.0,2.9380129979981575,19700,True,29,0.003444800000000001,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-UCB,2,157946.0,2.6169610370016017,19700,True,39,0.004431200000000001,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-UCB,3,157846.0,2.8636066319995734,19700,True,32,0.011596800000000006,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-UCB,4,157946.0,2.9999857759976294,19700,True,38,0.002439200000000001,157946.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s900,GA-UCB,5,157846.0,2.1456551880000916,19700,True,51,0.006791200000000002,157946.0,0.06331277778481254,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA,0,158641.0,2.247835218000546,19700,True,31,0.004299200000000001,158841.0,0.1259120755976102,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA,1,158741.0,2.7782811790020787,19700,True,35,0.0032184000000000006,158841.0,0.0629560377988051,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA,2,158741.0,2.2847526789992116,19700,True,57,0.003411200000000002,158841.0,0.0629560377988051,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA,3,158741.0,2.132729175998975,19700,True,62,0.0017672,158841.0,0.0629560377988051,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA,4,158541.0,2.448675062998518,19700,True,31,0.0033984000000000006,158841.0,0.1888681133964153,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA,5,158641.0,2.396134311999049,19700,True,177,0.0037416000000000007,158841.0,0.1259120755976102,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL,0,158841.0,2.9594444059985108,19700,True,51,0.003303200000000001,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL,1,158841.0,3.0611642740004754,19700,True,104,0.010343200000000004,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL,2,158841.0,1.9297566839995852,19700,True,40,0.008841600000000003,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL,3,158841.0,2.944332475999545,19700,True,33,0.013081600000000006,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL,4,158841.0,3.0646178839997447,19700,True,44,0.0059200000000000025,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL,5,158741.0,2.947298461000173,19700,True,30,0.015448000000000007,158841.0,0.0629560377988051,False,pisinger-gen,SC,500,1
